square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0014835998881608248,0.003867099992930889,0.003867099992930889,0.003867099992930889,1766.3193630999885,space,1766.3018545999657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1768.3375685000792,,,,,,,,,,1766.3194317999296,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1766.3344997998793,1767.3183557998855,1767.3183712000027,1767.3345949000213,1768.3375685000792,1768.3188638000283,1768.3355997998733,1768.3375685000792,1768.3375685000792,1768.8178715999238,1768.8512581998948,1771.3179677000735,1771.3348103000317,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1771.3513432999607,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.3358885000926,1771.3513432999607,1771.3513432999607,1771.8177656999324,1771.8512267000042,1774.3178805999923,1774.3346768000629,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1774.351110199932,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.3354350998998,1774.351110199932,1774.351110199932,1774.8179444998968,1774.8511459999718,1777.3179111999925,1777.334597100038,space,1,0.41059060022234917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1777.3509613999631,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.335862699896,1777.3509613999631,1777.3509613999631,1777.817838799907,1777.8510390000883,1780.3177950999234,1780.3346659000963,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1780.3511506998911,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.33555349987,1780.3511506998911,1780.3511506998911,1780.8176233000122,1780.8511244000401,1783.3176931999624,1783.3346168000717,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1783.3509440999478,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783.335446999874,1783.3509440999478,1783.3509440999478,1783.8178387000225,1783.8511006000917,1786.317602599971,1786.3344230998773,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1786.3508997000754,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786.33513329993,1786.3508997000754,1786.3508997000754,1786.8175890999846,1786.8508182999212,1789.3176809998695,1789.3344747999217,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1789.3508347999305,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789.335340499878,1789.3508347999305,1789.3508347999305,1789.8174397998955,1789.8509301999584,1792.3176635999698,1792.3343287999742,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1792.3509257999249,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.3351310999133,1792.3509257999249,1792.3509257999249,1792.8174988999963,1792.850916000083,1795.317516699899,1795.3340723998845,space,1,0.5084547000005841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,001,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
