square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
,,,,,,,,,,,,,,,,,0.0013223000569269,0.0037002000026404,0.0037002000026404,0.0037002000026404,83.25663220009301,space,83.24112829996739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,85.27138190006372,,,,,,,,,,83.25666990003083,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,83.27160239999648,84.25551360007375,84.25553180009592,84.27166440000292,85.27138190006372,85.25563470006455,85.26747690001503,85.27138190006372,85.27138190006372,85.7549127000384,85.77163690002635,88.25502800010145,88.2715201000683,88.25574769999366,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,88.2715201000683,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.25652799999807,88.2715201000683,88.2715201000683,88.7549761000555,88.77179780008737,91.25494230003096,91.27151760004926,91.25591510010418,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,91.27151760004926,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25663150008768,91.27151760004926,91.27151760004926,91.7550581000978,91.7714443000732,94.25480650004464,94.2715972000733,94.25557280005889,space,1.0,0.7467464000219479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,94.2715972000733,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.25662150001152,94.2715972000733,94.2715972000733,94.75486930005718,94.7715064000804,97.2547805000795,97.27151820005383,97.25554879999254,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,97.27151820005383,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2562659000978,97.27151820005383,97.27151820005383,97.75472520000768,97.77141950000076,100.25466780003626,100.27128510002512,100.2553722000448,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,100.27128510002512,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.25615760008805,100.27128510002512,100.27128510002512,100.75458490010352,100.77126310009044,103.254674200085,103.27138190006372,103.25558500003535,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,103.27138190006372,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.25629819999448,103.27138190006372,103.27138190006372,103.75471720006315,103.77139700006228,106.25462880008854,106.2710958000971,106.25537680007984,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,106.2710958000971,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2560343000805,106.2710958000971,106.2710958000971,106.75450590008404,106.77118979999796,109.25457240000831,109.27136430004612,109.2553919000784,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,109.27136430004612,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.25605120009276,109.27136430004612,109.27136430004612,109.75442330003716,109.77118360006716,112.2545544001041,112.27104010002222,112.2555482001044,space,1.0,0.3750517999287694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,112.27104010002222,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2565018000314,112.27104010002222,112.27104010002222,112.75457960006317,112.77114070008976,115.25440910004544,115.2711111000972,115.2552004000172,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,115.2711111000972,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2558004000457,115.2711111000972,115.2711111000972,115.75451330002396,115.7711791000329,118.2545549001079,118.27102210000156,118.25546140002552,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,118.27102210000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.25629270006904,118.27102210000156,118.27102210000156,118.7544289000798,118.77182420005556,121.25444090005476,121.27106850000564,121.2554674000712,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,121.27106850000564,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.25624120002612,121.27106850000564,121.27106850000564,121.77103100006934,121.77103100006934,124.2710456000641,124.2710456000641,124.2549227999989,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,124.2710456000641,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.2555122000631,124.2710456000641,124.2710456000641,124.7709951000288,124.7709951000288,127.27088820002972,127.27088820002972,127.25491200003307,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
7.0,"[0.3, 0]",None,0.0,14.0,14.0,14.0,,,,,,,,,127.27088820002972,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.25542230007704,127.27088820002972,127.27088820002972,127.77115260006394,127.77115260006394,130.27084450004622,130.27084450004622,130.2552100000903,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
2.0,"[0.64, 0.4]",None,0.0,15.0,15.0,15.0,,,,,,,,,130.27084450004622,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.25599500001408,130.27084450004622,130.27084450004622,130.77087670005858,130.77087670005858,133.27072340005543,133.27072340005543,133.2551448000595,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
2.0,"[0.64, 0.4]",None,0.0,16.0,16.0,16.0,,,,,,,,,133.27072340005543,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.25584630004596,133.27072340005543,133.27072340005543,133.77099370001815,133.77099370001815,136.27085269999225,136.27085269999225,136.25490660010837,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,1.0,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
